symbol,model,feature_selection,n_features,train_samples,test_samples,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,n_trades,total_pnl_pct,avg_pnl_pct,win_rate,prediction_accuracy,timestamp
ORCAUSDT,LightGBM,shap,15,11714,5021,0.884285999,0.773395722,0.827019299,0.799309154,0.950273111,121,-5.185619134,-0.042856356,0.52892562,0.760330579,15/12/2025 2:10
AWEUSDT,LightGBM,shap,15,4224,1811,0.794588625,0.657469077,0.982930299,0.787913341,0.9735462,93,0.90515261,0.009732824,0.52688172,0.612903226,15/12/2025 2:11
LSKUSDT,LightGBM,shap,15,26426,11326,0.893519336,0.639505119,0.805913978,0.713130352,0.934972647,228,6.605050816,0.028969521,0.49122807,0.574561404,15/12/2025 2:11
MLNUSDT,LightGBM,shap,15,6029,2584,0.928405573,0.427586207,0.867132867,0.572748268,0.966899958,28,-9.318080074,-0.332788574,0.535714286,0.357142857,15/12/2025 2:12
RESOLVUSDT,LightGBM,shap,15,4134,1773,0.842639594,0.902962206,0.827715356,0.86370298,0.947719606,80,38.02010798,0.47525135,0.5625,0.8875,15/12/2025 2:12
ORCAUSDT,KNN,,40,11714,5021,0.7847042421828321,0.922872340425532,0.2480343102215868,0.3909859154929577,0.6531913818697509,39,-5.169650380987105,-0.1325551379740283,0.5128205128205128,0.8717948717948718,2025-12-15 02:16:02
AWEUSDT,KNN,,40,4224,1811,0.9215902816123688,0.8705416116248349,0.937411095305832,0.9027397260273972,0.9458567202962036,69,3.905053246506653,0.0565949745870529,0.5652173913043478,0.8115942028985508,2025-12-15 02:16:03
LSKUSDT,KNN,,40,26426,11326,0.8955500618046972,0.8196411709159585,0.4666666666666667,0.5947242206235012,0.7512763847522201,120,12.870426451054776,0.1072535537587898,0.4916666666666666,0.6916666666666667,2025-12-15 02:16:10
MLNUSDT,KNN,,40,6029,2584,0.9361455108359134,0.4191176470588235,0.3986013986013986,0.4086021505376344,0.8023522974362794,17,-3.8746287890086144,-0.2279193405299185,0.7058823529411765,0.3529411764705882,2025-12-15 02:16:14
ORCAUSDT,RandomForest,,40,11714,5021,0.8707428799044015,0.745740498034076,0.8134381701215153,0.7781196581196581,0.954619316708432,125,-1.697129079368742,-0.0135770326349499,0.528,0.744,2025-12-15 02:17:05
AWEUSDT,RandomForest,,40,4224,1811,0.8812810601877415,0.773542600896861,0.9815078236130867,0.8652037617554859,0.9733080505928692,80,2.198380395097681,0.027479754938721,0.525,0.7125,2025-12-15 02:17:08
LSKUSDT,RandomForest,,40,26426,11326,0.9262758255341692,0.8360655737704918,0.6854838709677419,0.7533234859675036,0.9436145548641544,144,14.50705468287875,0.1007434352977691,0.5277777777777778,0.7916666666666666,2025-12-15 02:17:24
MLNUSDT,RandomForest,,40,6029,2584,0.9059597523219814,0.3571428571428571,0.8741258741258742,0.5070993914807302,0.9624594987151316,33,-2.506086789998628,-0.0759420239393523,0.6666666666666666,0.303030303030303,2025-12-15 02:17:31
AWEUSDT,XGBoost,,31,4224,1811,0.8967421314191054,0.7986111111111112,0.9815078236130867,0.8806636885768986,0.967157257960982,74,3.5528555571585594,0.0480115615832237,0.5405405405405406,0.7702702702702703,2025-12-15 02:19:19
LSKUSDT,XGBoost,,10,26426,11326,0.857672611689917,0.542995839112344,0.8419354838709677,0.6602023608768971,0.9346397065672504,288,-2.027178132050591,-0.0070388129585089,0.4548611111111111,0.4652777777777778,2025-12-15 02:19:39
MLNUSDT,XGBoost,,18,6029,2584,0.9272445820433436,0.4199288256227758,0.8251748251748252,0.5566037735849056,0.9566009574202938,27,-4.225468693824704,-0.156498840512026,0.5555555555555556,0.3703703703703703,2025-12-15 02:19:50
RESOLVUSDT,XGBoost,,23,4134,1773,0.8527918781725888,0.8517872711421098,0.9147940074906368,0.8821670428893905,0.9171368236512868,92,36.52811549110527,0.3970447335989703,0.5434782608695652,0.8478260869565217,2025-12-15 02:19:57
AWEUSDT,LSTM,,40,4212,1799,0.6842690383546415,0.5752753977968176,0.6801736613603473,0.623342175066313,0.8042130120632995,83,0.1130616189545412,0.0013621881801751,0.5301204819277109,0.5180722891566265,2025-12-15 02:22:27
LSKUSDT,LSTM,,40,26414,11314,0.7515467562312179,0.3691164327002477,0.7209677419354839,0.4882577826324413,0.8317988801463111,361,-17.757950176167004,-0.0491909977179141,0.4293628808864266,0.3213296398891966,2025-12-15 02:23:04
MLNUSDT,LSTM,,40,6017,2572,0.8759720062208398,0.2659574468085106,0.6993006993006993,0.3853564547206166,0.8739027543062127,43,2.176932037803238,0.0506263264605404,0.627906976744186,0.2093023255813953,2025-12-15 02:23:16
RESOLVUSDT,LSTM,,40,4122,1761,0.8262350936967632,0.780559646539028,0.99250936329588,0.8738664468260511,0.9175692181310158,113,38.075952666761175,0.3369553333341697,0.5221238938053098,0.7433628318584071,2025-12-15 02:23:22
AWEUSDT,StackedLSTM,,40,4212,1799,0.7971095052807116,0.6623505976095617,0.9623733719247468,0.7846607669616519,0.9152277607402028,92,-2.458052172345845,-0.0267179583950635,0.4891304347826087,0.6086956521739131,2025-12-15 02:25:31
LSKUSDT,StackedLSTM,,40,26414,11314,0.8441753579635849,0.5189379148770011,0.714516129032258,0.601221443112418,0.8734271037348929,271,-12.378508809066773,-0.0456771542769991,0.4317343173431734,0.4538745387453874,2025-12-15 02:27:39
MLNUSDT,StackedLSTM,,40,6017,2572,0.859642301710731,0.2038043478260869,0.5244755244755245,0.2935420743639921,0.7933421045812976,45,16.571818405130305,0.3682626312251179,0.5555555555555556,0.1777777777777777,2025-12-15 02:28:11
RESOLVUSDT,StackedLSTM,,40,4122,1761,0.8375922771152754,0.8274706867671692,0.9250936329588016,0.8735632183908046,0.8829608281855473,103,35.63338010315164,0.3459551466325402,0.5631067961165048,0.7961165048543689,2025-12-15 02:28:32
AWEUSDT,LogisticRegression,,40,4224,1811,0.8398674765323026,0.7131062951496389,0.9829302987197724,0.8265550239234449,0.9738228633345488,92,2.5368158546761483,0.0275740853769146,0.5217391304347826,0.6195652173913043,2025-12-15 02:34:37
LSKUSDT,LogisticRegression,,40,26426,11326,0.7133144976161045,0.3584982656600693,0.9446236559139785,0.5197455997633487,0.9372433656163882,477,-24.16728652738478,-0.0506651709169492,0.4192872117400419,0.3123689727463312,2025-12-15 02:34:44
MLNUSDT,LogisticRegression,,40,6029,2584,0.8409442724458205,0.2341269841269841,0.8251748251748252,0.3647604327666151,0.8855478810415313,52,-11.199479541809788,-0.2153746065732651,0.5384615384615384,0.173076923076923,2025-12-15 02:34:48
RESOLVUSDT,LogisticRegression,,40,4134,1773,0.8917089678510999,0.8498402555910544,0.99625468164794,0.9172413793103448,0.9560595797805934,99,44.03035096928882,0.4447510198918062,0.5555555555555556,0.8484848484848485,2025-12-15 02:34:49
ORCAUSDT,LogisticLasso,,40,11714,5021,0.8900617406891057,0.7555823777911889,0.8949249463902788,0.819371727748691,0.9606705152256344,145,-3.1578693044887176,-0.0217784089964739,0.5103448275862069,0.7172413793103448,2025-12-15 02:37:30
AWEUSDT,LogisticLasso,,40,4224,1811,0.8387631143014909,0.7116374871266735,0.9829302987197724,0.8255675029868578,0.9738575265366068,91,2.6878765783909966,0.0295371052570439,0.5274725274725275,0.6263736263736264,2025-12-15 02:37:32
LSKUSDT,LogisticLasso,,40,26426,11326,0.7135793748896345,0.3587178440179665,0.9446236559139785,0.5199763243563185,0.937311578052975,477,-24.72163727901535,-0.0518273318218351,0.4192872117400419,0.3123689727463312,2025-12-15 02:37:41
MLNUSDT,LogisticLasso,,40,6029,2584,0.8421052631578947,0.2355289421157684,0.8251748251748252,0.3664596273291925,0.8864388376883255,52,-11.199479541809788,-0.2153746065732651,0.5384615384615384,0.173076923076923,2025-12-15 02:37:47
AWEUSDT,LogisticRidge,,40,4224,1811,0.8398674765323026,0.7131062951496389,0.9829302987197724,0.8265550239234449,0.9738228633345488,92,2.5368158546761483,0.0275740853769146,0.5217391304347826,0.6195652173913043,2025-12-15 02:40:12
LSKUSDT,LogisticRidge,,40,26426,11326,0.7133144976161045,0.3584982656600693,0.9446236559139785,0.5197455997633487,0.9372433656163882,477,-24.16728652738478,-0.0506651709169492,0.4192872117400419,0.3123689727463312,2025-12-15 02:40:19
MLNUSDT,LogisticRidge,,40,6029,2584,0.8409442724458205,0.2341269841269841,0.8251748251748252,0.3647604327666151,0.8855478810415313,52,-11.199479541809788,-0.2153746065732651,0.5384615384615384,0.173076923076923,2025-12-15 02:40:23
RESOLVUSDT,LogisticRidge,,40,4134,1773,0.8917089678510999,0.8498402555910544,0.99625468164794,0.9172413793103448,0.9560595797805934,99,44.03035096928882,0.4447510198918062,0.5555555555555556,0.8484848484848485,2025-12-15 02:40:24
AWEUSDT,SVM,,40,4224,1811,0.9226946438431806,0.8505603985056039,0.9715504978662872,0.9070385126162018,0.9553332545922324,68,2.7723336985038545,0.0407696132132919,0.5441176470588235,0.8382352941176471,2025-12-15 02:44:10
LSKUSDT,SVM,,40,26426,11326,0.8283595267526046,0.412863070539419,0.1069892473118279,0.1699402220324509,0.8504405126212886,62,-9.42400165413522,-0.1520000266796003,0.3870967741935484,0.4032258064516129,2025-12-15 02:47:53
MLNUSDT,SVM,,40,6029,2584,0.9357585139318886,0.3883495145631068,0.2797202797202797,0.3252032520325203,0.9463205782337288,13,14.785447715701777,1.1373421319770598,0.8461538461538461,0.3076923076923077,2025-12-15 02:48:02
RESOLVUSDT,SVM,,40,4134,1773,0.4624929498025945,0.7186311787072244,0.1769662921348314,0.2839969947407963,0.8274410975642149,26,-0.6937233563061591,-0.0266816675502368,0.3846153846153846,0.6923076923076923,2025-12-15 02:48:05
RESOLVUSDT,KNN,,40,4134,1773,0.8330513254371122,0.9396355353075172,0.7724719101123596,0.8478931140801644,0.8995165617446278,78,39.19141189480329,0.5024539986513242,0.5512820512820513,0.8974358974358975,2025-12-15 14:42:01
OMUSDT,LightGBM,shap,15,24878,10663,0.854543749413861,0.7639796659404503,0.9437093518726172,0.8443864753687168,0.9552484893887412,435,-41.92795132224196,-0.0963860949936596,0.4160919540229885,0.7494252873563219,2025-12-15 14:44:53
ORCAUSDT,LogisticRegression,,40,11714,5021,0.8842859988050189,0.7565872020075283,0.8620443173695497,0.805880387570999,0.9452591758173878,142,-1.8600638858827665,-0.0130990414498786,0.5,0.7183098591549296,2025-12-15 14:45:03
RESOLVUSDT,LogisticLasso,,40,4134,1773,0.8917089678510999,0.8498402555910544,0.99625468164794,0.9172413793103448,0.9548403591255612,100,43.504213785173306,0.435042137851733,0.55,0.84,2025-12-15 14:45:49
ORCAUSDT,LogisticRidge,,40,11714,5021,0.8842859988050189,0.7565872020075283,0.8620443173695497,0.805880387570999,0.9452591758173878,142,-1.8600638858827665,-0.0130990414498786,0.5,0.7183098591549296,2025-12-15 14:46:23
ORCAUSDT,StackedLSTM,,40,11702,5009,0.9129566779796366,0.7087542087542088,0.6154970760233918,0.6588419405320813,0.8560700402258052,54,-0.5874674572060041,-0.0108790269852963,0.5740740740740741,0.7037037037037037,2025-12-15 14:47:36
ORCAUSDT,LSTM,,40,11702,5009,0.8380914354162508,0.7789373814041746,0.5868477483917084,0.6693844272319609,0.8718825674848872,105,-2.3209760896116824,-0.0221045341867779,0.4571428571428571,0.7333333333333333,2025-12-15 14:48:09
RESOLVUSDT,RandomForest,,40,4134,1773,0.9029892836999436,0.8666121112929623,0.9915730337078652,0.9248908296943232,0.9653332270831672,98,46.43290036728539,0.4738051057886264,0.5816326530612245,0.8571428571428571,2025-12-15 14:48:30
ORCAUSDT,SVM,,40,11714,5021,0.813981278629755,0.8506787330316742,0.403145103645461,0.5470417070805044,0.916990877368034,58,-2.282303577186439,-0.0393500616756282,0.5,0.8275862068965517,2025-12-15 14:49:56
ORCAUSDT,XGBoost,N/A,19,11714,5021,0.8757219677355108,0.7750177430801988,0.7805575411007862,0.7777777777777778,0.95110740139778,125,7.752862829037084,0.06202290263229667,0.512,0.736,2025-12-15 14:50:19
